# Keller K(5) Vertex Coordinates
# Total vertices: 1024
# Format: vertex_id [x1,x2,x3,x4,x5]
##################################################

 925 [3,2,1,3,1]
 926 [3,2,1,3,2]
 927 [3,2,1,3,3]
 928 [3,2,2,0,0]
 929 [3,2,2,0,1]
 930 [3,2,2,0,2]
 931 [3,2,2,0,3]
 932 [3,2,2,1,0]
 933 [3,2,2,1,1]
 934 [3,2,2,1,2]
 935 [3,2,2,1,3]
 936 [3,2,2,2,0]
 937 [3,2,2,2,1]
 938 [3,2,2,2,2]
 939 [3,2,2,2,3]
 940 [3,2,2,3,0]
 941 [3,2,2,3,1]
 942 [3,2,2,3,2]
 943 [3,2,2,3,3]
 944 [3,2,3,0,0]
 945 [3,2,3,0,1]
 946 [3,2,3,0,2]
 947 [3,2,3,0,3]
 948 [3,2,3,1,0]
 949 [3,2,3,1,1]
 950 [3,2,3,1,2]
 951 [3,2,3,1,3]
 952 [3,2,3,2,0]
 953 [3,2,3,2,1]
 954 [3,2,3,2,2]
 955 [3,2,3,2,3]
 956 [3,2,3,3,0]
 957 [3,2,3,3,1]
 958 [3,2,3,3,2]
 959 [3,2,3,3,3]
 960 [3,3,0,0,0]
 961 [3,3,0,0,1]
 962 [3,3,0,0,2]
 963 [3,3,0,0,3]
 964 [3,3,0,1,0]
 965 [3,3,0,1,1]
 966 [3,3,0,1,2]
 967 [3,3,0,1,3]
 968 [3,3,0,2,0]
 969 [3,3,0,2,1]
 970 [3,3,0,2,2]
 971 [3,3,0,2,3]
 972 [3,3,0,3,0]
 973 [3,3,0,3,1]
 974 [3,3,0,3,2]
 975 [3,3,0,3,3]
 976 [3,3,1,0,0]
 977 [3,3,1,0,1]
 978 [3,3,1,0,2]
 979 [3,3,1,0,3]
 980 [3,3,1,1,0]
 981 [3,3,1,1,1]
 982 [3,3,1,1,2]
 983 [3,3,1,1,3]
 984 [3,3,1,2,0]
 985 [3,3,1,2,1]
 986 [3,3,1,2,2]
 987 [3,3,1,2,3]
 988 [3,3,1,3,0]
 989 [3,3,1,3,1]
 990 [3,3,1,3,2]
 991 [3,3,1,3,3]
 992 [3,3,2,0,0]
 993 [3,3,2,0,1]
 994 [3,3,2,0,2]
 995 [3,3,2,0,3]
 996 [3,3,2,1,0]
 997 [3,3,2,1,1]
 998 [3,3,2,1,2]
 999 [3,3,2,1,3]
1000 [3,3,2,2,0]
1001 [3,3,2,2,1]
1002 [3,3,2,2,2]
1003 [3,3,2,2,3]
1004 [3,3,2,3,0]
1005 [3,3,2,3,1]
1006 [3,3,2,3,2]
1007 [3,3,2,3,3]
1008 [3,3,3,0,0]
1009 [3,3,3,0,1]
1010 [3,3,3,0,2]
1011 [3,3,3,0,3]
1012 [3,3,3,1,0]
1013 [3,3,3,1,1]
1014 [3,3,3,1,2]
1015 [3,3,3,1,3]
1016 [3,3,3,2,0]
1017 [3,3,3,2,1]
1018 [3,3,3,2,2]
1019 [3,3,3,2,3]
1020 [3,3,3,3,0]
1021 [3,3,3,3,1]
1022 [3,3,3,3,2]
1023 [3,3,3,3,3]
